Galatac	English / French	Part of Speech	Source	Notes (original parenthesis data)
dicoriat	key			“opener”, cf. W. agoriad, id.
aldon	other person			
ali	to feed	verb		
aliac	nutritious			
aliacas	nutrition			
aliacan	nutrient			
alian	feed	noun		noun
swalian	nourishment			
swali	to nourish	verb	derivation / compound	su + ali, “good-feed”
swaliat	nourisher			
aliat	feeder			
alis	cliff			
alisu	escarpment			
alisac	cliff-like			
dialisac	precipitous		derivation / compound	di + alisac, “off-cliff-like”
dialisa	to precipitate	verb		to cause something bad to happen suddenly
dialisaiat	precipitator			
dialisan	precipitation			sudden unexpected bad event – not rain, hail or snow
alon	comfrey			plant
alv	firmament			
alban	air			
albanac	airy			
albani	to air	verb		
albaniat	airer			
albanan	airing	noun		noun
albu	upper world			world of the gods
albunac	celestial			
albol	mint			
albolac	minty			
albroi	foreigner			
esalbroi	stranger		derivation / compound	es + albroi, “from/out-of-other country”
albroiac	foreign			
esalbroiac	strange			
albroiacas	foreign-ness			
esalbroiacas	strangeness			
alwi	to grow	verb		
alu	growth			
alwiat	grower			
alwian	growing	noun		noun
alwitol	adult		derivation / compound	alwit(u) + ol, “grown-all”
alwitolait	adulthood			
am	around			on both sides
am	about			
am	on two sides			
ama	to like	verb		
swama	to approve	verb	derivation / compound	 su + amam, “good-like”
ambaiat	delegate			
ambai	to delegate	verb		to go around
ambaitol	delegation			
-tol	substantivising suffix for verbs ending on –ai, -oi, -ei, -ui	affix		
amal	moment			
aman lan	all the time			
aman ol	always			
aman bir	soon			
aman mar	often			
aman sir	long time			
amaiat	mate			
amantu	beloved			lover
canamaiat	ally			
canama	to ally	verb		
canamat	alliance			
swamaiat	approver			
swamat	approval			
amat	liking	noun		noun
aman	time			
aman nowi	spring time			“new time”, cf. Br. nevezamzer, id.
amanan	timing			
amani	to time	verb		
amaniat	timer			
ambantaran	insertion			
ambantari	to insert	verb	derivation / compound	refering to insertion of a month; < amb + antar, “both-sides-between”, attested at Coligny, intercalary month
ambantariat	inserter			
amapis	to visit	verb	derivation / compound	am + apis “around-see”, cf. W. ymweld, id.
amapisan	visit	noun		noun
amapisiat	visitor			
amarc	vision			
amarcid	visionary	adjective		adjective
amarcaun	visionary	noun		noun; amarc-aun, “visionary-ist”
amarcid	observant			
amarcidas	observantness			
amarcan	observation			
amarci	to observe	verb		
amarciat	observer			
amat	like	noun		noun
amgwertan	exchange	noun		noun
amgwerti	exchange		derivation / compound	am + gwerti “around-turn”
amgwertiat	exchanger			
amgwici	to defend	verb	derivation / compound	am + gwic- “around-win”
amgwiciat	defender			
amgwican	defence			
amdes	to organise	verb	derivation / compound	am + des “around-prepare”
amdesan	organisation			
amdesiat	organiser			
amgar	to announce	verb	derivation / compound	am + gar “around-call”
amgariat	announcer			
amgaru	announcement			
amgavan	avoidance			
amgavi	to avoid	verb	derivation / compound	am + gavi “around-take”, cf. OIr. imgabail
amgaviat	avoider			
ambol	enclosure		derivation / compound	< ambio- + -ol, “enclose-all”
amboli	to enclose	verb		
amboliat	encloser			
ambolan	enclosing	noun		noun
ambit	environment			
ambitac	environmental			
ambi	to surround	verb		
ambiat	surrounder			
amban	surrounding	noun		noun
ambilat	buckle			
ambilati	to buckle	verb		to keep together
ambilatiat	buckler			
amin	acquaintance			
amini	to acquaint	verb		
aminiat	acquainter			
aminan	acquainting			
aminac	casual			
aminacas	casualness			
ambos	joined hands			
ambosa	to join	verb		
lambosa	to shake hands	verb	derivation / compound	lam + ambos, “hand-joined”
lambosan	handshake			
lambosaiat	handshaker			
ambosan	joint			
ambosaiat	joiner			
amtot	nation		derivation / compound	am + tot, “around-people”
amtotac	national			
amtotas	nationality			
amtoti	nationalise			
amtotiat	nationaliser			
amtotan	nationalisation			
amtrev	village			
ambu	stream			running water; cf. ambe DLG 2003, p. 41
ambuni	to stream	verb		
ambuniat	streamer			
ambunan	streaming	noun		noun
ambunac	streamlined			“streaming-like”, resembling running water
ambunaci	to streamline	verb		
ambunaciat	streamliner			
ambunacan	streamlining	noun		noun
ambol	watershed		derivation / compound	amb(u) + ol, “stream-all”
amben	rivulet			< ambe, DLG 2003, p. 41
amgweri	to guide	verb		
amgweriat	guide			
amgweran	guidance			
an-	un-	affix		im-
ani	to breathe	verb		
Anagan	month 4 of the Gaulish calendar			corresponding to August
anagan	unfixed			
aniat	breather			
anan	breath			
ananac	breathy			
anol	respiration			
anolac	respirational			
anandogan	non-indigenous		derivation / compound	an + andogan, “not-born-inside”
anandoganas	non-indigenousness			
anat	soul			
anwar	blow		derivation / compound	an + mar, “breath-big”
anwari	to blow	verb		
anwariat	blower			
anwaran	blowing	noun		noun
anatwar	magnanimous		derivation / compound	anat + mar, “soul-big”
anatwaras	magnanimity			
ancani	to whistle	verb	derivation / compound	an + can, “breathe-sing”
ancaniat	whistler			
ancanu	whistle tune			
ancanan	whistling	noun		noun
ancanol	whistle			
anau	richness			
anauni	to enrich	verb	derivation / compound	-n- enlargement, cf. Anaone, DLG 2003, p. 45; cf. carni < car + -ni, DLG 2003, p. 106)
anaunan	enrichment			
anauniat	enricher			
anaunac	rich			
andavat	blinded fighter			fighter with helmet without eyeholes; artificially and temporarily blinded
andavata	to fight blindedly	verb		
andavatan	blinded combat			
andat	blinded			temporarily and artificially; < ander-, “below, underworld, darkness”
andatas	blindedness			temporary
andati	to blind	verb		artificially and temporarily
andatiat	blinder			
andatan	blinding	noun		noun
andat argu	snowblind			
andatas argu	snowblindness			
ancaranac	unfriendly			
ancaranacas	unfriendliness			
ancinac	late		derivation / compound	an + cinac, “un-early”
ancinacas	lateness			
ancu	hook			
ancuni	to hook	verb	derivation / compound	ancu + -ni, cf. carni < car + -ni, DLG 2003, p. 106
ancuniat	hooker			
ancunan	hooking	noun		noun; “accrochement”
ancomes	unlike			
ancomesac	dissimilar			
ancomesacas	dissimilarity			
comes	like			comparative
comesac	similar			
ancurai	salmon of the Rhine			ancu-rai, “hook-front” > hook-shaped snout
ancrinac	carefree			
riunac	easy		derivation / compound	riu + -nac, “free-like”; cf. Ir. saoráideach
suriunacan	facilitation			
riunacas	ease			
riunacan	easing	noun		noun
riunaci	to ease	verb		
suriunaci	to facilitate	verb	derivation / compound	su + riunaci, “good-easing”
riunaciat	easer			
suriunaciat	facilitator			
riuni	to free	verb	derivation / compound	riu + -ni, cf. carni < car + -ni, DLG 2003
suriuni	to liberate	verb		
riuniat	free-er			
riunan	freeing	noun		noun
suriuniat	liberator			
suriunan	liberation			
riunas	freedom		derivation / compound	riu + -nas, n-enlargement, cf. Anaone, DLG 2003, p. 45
angweli	dishonest			
angwelias	dishonesty			
angwiru	untrue			
angwirot	untruth			
angworetwar	unhelpful			
angworetwaras	unhelpfulness			
ande-	very	affix		prefix of augmentation
andecing	to survey	verb		to measure land
andecinget	surveyor			
andecingen	survey			
anded	inferior			
andedas	inferiority			
gweranded	worse			
gwerandedi	to worsen	verb		
gwerandedan	worsening	noun		noun
gwerandediat	worsener			
anei	to protect	verb		
aneiac	protective			
aneiat	protector			
aneitol	protection			
aneli	to wait	verb		
aneliat	waiter			
anelan	wait	noun		noun
anelu	few		derivation / compound	an + elu, “not-many”
anep	white hellebore			veratrum album
andernad	those below			
ander	below			
andu	low			
andunas	lowness		derivation / compound	andu + -nas, n-enlargement, cf. Anaone, DLG 2003, p. 45
andwen	lowland			< anduenna, Whatmough 1970, p. 1255, cf Arduenna [Silva] “highland [forest]
andwen	low country			
anduni	to lower	verb		
andunan	lowering	noun		noun
anduniat	lowerer			
andescoci	to remove	verb	derivation / compound	ande + scoci, “very-activate”
andescociat	remover			
andescocan	removal			
aneti	less		derivation / compound	an + eti, “not-more”
andev	wealthy			< andebio-, DLG p. 47, andedios > andebion, “very-alive”, cf. OIr. indbe, id.
andevas	wealth			
anoni	to inspire	verb		
anoniat	inspirer			muse
anon	inspiration	noun		< anoun < aneun-
anonac	inspirational			
aniate	unborrowable			unalienable
aniati	to keep	verb		
aniatiat	keeper			
-te	-able	affix		adjectival suffix of ability, possibility or obligation; < -tei < ania-tei, DLG 2003, p. 49; cf. Ir. –ta, -tha, -the, id.
-teas	-ability	affix		substantival suffix of ability, possibility or obligation
iati	to borrow	verb		
iatiat	borrower			
iatan	loan			
duiati	to alienate	verb		
duiatiat	alienater			
duiatian	alienation			
andigu	innocent			<*andigs <*tixs-
andigunas	innocence		derivation / compound	andigu + -nas, n-enlargement, cf. Anaone, DLG 2003, p. 45
anam	swamp			
anamac	swampy			
anami	to swamp	verb		
anamiat	swamper			
anaman	swamping	noun		noun
anlan	empty			
anlanas	emptiness			
anlani	to empty	verb		
anlaniat	emptier			
anlanan	emptying	noun		noun
anlavar	shy			
anlavaras	shyness			
anlo	heavy		derivation / compound	an + lo, “un-light”, [o @] < lou
anloas	heaviness			
dulagu	poor			quality
dulagunas	poorness		derivation / compound	dulagu + -nas, n-enlargement, cf. Anaone, DLG 2003, p. 45
lagwi	to spoil	verb		to go off
lagwiat	spoiler			
lagwian	spoiling	noun		noun
dulagwi	to rot	verb		
dulagwiat	rotter			
dulagwian	rot			
anlosc	level		derivation / compound	adj., horizontal, an + losc, “un-tilted”
anloscas	levelness			
ando	inside			
andos	interior			
andedu	dwelling		derivation / compound	< andoedo- < ando + edo, “inside-space”; loss of /o/ before /e/; cf. cantedo-, DLG 2003, < *canto-edo, p. 103; cf. W. annedd, id.
andedan	abode			
andedwi	to dwell	verb		
andedwiat	dweller			
andedwian	act of dwelling			
andogon	indigenous			< andogn-, assimilation of atonic vowel schwa inside of cluster –gn- to vowel of previous syllable; cf. gavar, durun, duvur, etc.
andogonas	indigenousness			
andogonat	indigene			indigenous person
gentat	native			person
gentac	native	adjective		adjective
gentacas	nativeness			
andun	spring		derivation / compound	of water < andu +un “low-water”, andounna, DLG 2003, p. 48
usun	waterfall		derivation / compound	us + un, “high-water” i.e. “water from above”, uxouna, DLG 2003, p. 48
anduni	to spring	verb		to spring forth, e.g. water from the ground
anduniat	springer			
andunan	springing	noun		noun
un	waterflow			flowing water
anonu	inspired			
anordai	late		derivation / compound	an + or + dai, “not-hour-good”, cf Fr. de bonne heure “early”
anordaias	lateness			
anreitwar	illegitimate			an-reit-mar, “un-law-ful”
ansamal	different			
ansamalas	difference			
stiru	sterile			DLG 2003, p. 282
stirunas	sterility		derivation / compound	stiru + -nas, n-enlargement, cf. Anaone, DLG 2003, p. 45
stirwi	to sterilise	verb		
stirwiat	steriliser			
stirwian	sterilisation			
anstiru	fertile			
anstirunas	fertility		derivation / compound	anstiru + -nas, n-enlargement, cf. Anaone, DLG 2003, p. 45
anstirwi	to fertilise	verb		
anstirwiat	fertiliser			
anstirwian	fertilisation			
anta	to end	verb		
antumar	terminal	adjective		adjective
antol	terminal	noun		noun
antan	ending			
antaiat	ender			
antu	end			
antartu	wet			
antartunas	wetness		derivation / compound	antartu + -nas, n-enlargement, cf. Anaone, DLG 2003, p. 45
antarta	to make wet	verb		
antartaiat	wet-maker			
antartan	wet-making			
andam	bad			poor quality
andamic	of poor quality			
andamas	worst			andam – andedu/gwer andam – andamas, “bad-worse-worst”
antumun	underworld			realm of the dead
antumunac	underworldly			
antumunacas	underworldliness			
anderen	hell			cf. L. inferno, id.
anderen	inferno			
anderenac	hellish			infernal
anderenac	infernal			
anderenacas	hellishness			
anderenacas	infernalness			
anu	name			
diducartan	disinfection			
diducarti	to disinfect	verb		
diducartiat	disinfectant			
didumenac	unsuspecting		derivation / compound	di + du + men + ac, “un-bad-think-like”
anbur	humble		derivation / compound	an + bur, “un-proud/haughty”
anburac	modest			“humble-like”
anburan	humbling	noun		noun
anburas	humbleness			humility
anburacas	modesty			
anburi	to humble	verb		
anburiat	humbler			
dwanburi	to humiliate	verb	derivation / compound	du + anburi, “bad-humbling”
dwanburiat	humiliator			
dwanburan	humiliation			
anwat	unfavourable			not nice
anwatas	unfavourableness			
anwi	to name	verb		
anwian	naming			
anwiat	namer			
apis	to see	verb		
apisan	sight			
apisiat	see-er			
apiste	visible		derivation / compound	apis + -te, suffix of ability
apisteas	visibility			
apisac	visual			“seeing-like”
apisacas	visualness			
-ac	-like	affix		suffix of adjective
ar	in front			
ar	before			physical
ar	ahead			
rai	front			
raiac	frontal			
popit	cake			< popi “to cook, cf. crampopit “pancake”, cf. Br. krampouezh, id.
popiti	to cake	verb		
popitan	caking			
popitiat	caker			caking agent
aram	calm			
aramas	calmness			
arami	to calm	verb		
aramiat	calmer			
araus	temple			side of head
arcat	project			
arcati	to project	verb		
arcatan	projection			
arcatiat	projector			
dwarderci	to show off	verb	derivation / compound	du + arderci, “bad-boast”
dwarderciat	show-off			a person who shows off
dwardercan	showing-off	noun		noun
arderci	to boast	verb		
arderciat	boaster			
ardercan	boast			
ardos	forearm			
ardron	skirmish			
ardroni	to skirmish	verb		
ardroniat	skirmisher			
ardu	high			
ardunas	height		derivation / compound	ardu + -nas, n-enlargement, cf. Anaone, DLG 2003, p. 45
ardwen	highland			< Arduenna Silva “highland forest”
ardwen	high country			
ardwen	upland			
arduni	to heighten	verb	derivation / compound	ardu + -ni, “high-ing”
ardunan	heightening	noun		noun
arduniat	heightener			
are	east			
adretac	offensive			physical
adretan	attack			physical
adreti	to attack	verb		physical
adretiat	attacker			physical
arga	to shine	verb		
argat	shine	noun		noun
argaiat	shiner			
argan	money			“shining thing”; cf. silver
arganac	monetary			
argantu	silver			
argantunac	silvery			
argac	shiny			
argacas	shininess			
swargac	brilliant			
swargacas	brilliance		derivation / compound	su + argac, “good-shiny”
argu	snow			
argwi	to snow	verb		
argwian	snow event			
gwir argu	snowman			
taran argu	snow storm			
argar	to present	verb	derivation / compound	ar + gar, “before-shout”, i.e. “shouting in front of [people]”
argariat	presenter			
argaru presentation				
artrevac	agricultural			
ariu	nobleman			
ariunac	noble			
ariunacas	nobility			human quality
ariuloi	nobility			group of people
ariawa	great granddaughter			
ariawu	great grandson			
aric	foremost			
arican	excellent			
aricanas	excellence			
aricani	to excel	verb		
arici	to model	verb		
arici	to set an example	verb		
aricaniat	exceller			
ariciat	model			person
ariciat	one who sets an example			
aricu	example			
arinc	wheat			
poparinc	wheatcake			
arit	rockwall			natural formation
aritu	slate			
aritis	table			
aritisa	to table	verb		
aritisaiat	tabler			
aritisan	tabling	noun		noun
arlat	wetland			formation analoguous with araus, DLG 2003, p. 51-52
arluge	to promise	verb	derivation / compound	ar + luge, “in front of commitment”
arluget	promiser			
arlugen	promise	noun		noun
arpen	side			
arpeni	to side	verb		
arpeniat	sider			
arpenan	siding	noun		noun
arpenu	block of land			land area, approx. 1 acre
barpen	extremity (bar + pen, “top-head”, i.e. most upper, highest		derivation / compound	
barpenac	extreme			
barpenacas	extremeness			
barpenait	extremism			
barpenaun	extremist			
arsel	throne			
dwarsel	toilet		derivation / compound	du + arsel, “bad-throne”
arseli	to throne	verb		
arselan	throning	noun		noun
diarseli	to dethrone	verb		
diarselan	dethroning	noun		noun
dwarseli	to go to the toilet	verb		
dwarselan	toileting	noun		noun
